year,variable,metric,estimate,share
2021,SMART,Battery Electric Vehicle,28,0.0014879370815176957
2021,SUBARU,Hybrid Electric Vehicle,37,0.0024589619193194656
2021,TESLA,Battery Electric Vehicle,14120,0.7503454139653524
2021,TOYOTA,Hybrid Electric Vehicle,10847,0.7208745929421148
2021,UBCO,Battery Electric Vehicle,1,5.3140610054203425e-5
2021,VOLKSWAGEN,Battery Electric Vehicle,520,0.027633117228185778
2021,VOLKSWAGEN,Hybrid Electric Vehicle,1,6.645843025187745e-5
2021,VOLVO,Battery Electric Vehicle,259,0.013763418004038686
2021,VOLVO,Hybrid Electric Vehicle,100,0.006645843025187745
2021,ZERO MOTORCYCLES,Battery Electric Vehicle,37,0.0019662025720055265
2022,ACURA,Hybrid Electric Vehicle,2,1.0995052226498076e-4
2022,AIR EASY LLC DBA AVENTURA-X,Battery Electric Vehicle,1,4.405480417639543e-5
2022,ALTA,Battery Electric Vehicle,1,4.405480417639543e-5
2022,AMPERE,Battery Electric Vehicle,1,4.405480417639543e-5
2022,ARCIMOTO,Battery Electric Vehicle,10,4.4054804176395435e-4
2022,AUDI,Battery Electric Vehicle,399,0.01757786686638178
2022,AUSTIN EV METRO,Battery Electric Vehicle,1,4.405480417639543e-5
2022,BAODIAO,Battery Electric Vehicle,2,8.810960835279087e-5
2022,BMW,Battery Electric Vehicle,390,0.01718137362879422
2022,BMW,Hybrid Electric Vehicle,64,0.0035184167124793844
2022,BUICK,Hybrid Electric Vehicle,3,1.6492578339747114e-4
2022,CADILLAC,Hybrid Electric Vehicle,2,1.0995052226498076e-4
2022,CAKE,Battery Electric Vehicle,3,1.321644125291863e-4
2022,CHANGZHOU YAMASAKI MOTORCYCLE CO.,Battery Electric Vehicle,1,4.405480417639543e-5
2022,CHEVROLET,Battery Electric Vehicle,851,0.03749063835411252
2022,CHEVROLET,Hybrid Electric Vehicle,17,9.345794392523365e-4
2022,"CHONGQING ZONGSHEN AUTOMOTIVE INDUSTRY CO., LTD.",Battery Electric Vehicle,2,8.810960835279087e-5
2022,CHRYSLER,Battery Electric Vehicle,1,4.405480417639543e-5
2022,CRUISE CAR,Battery Electric Vehicle,1,4.405480417639543e-5
2022,EAHORA,Battery Electric Vehicle,4,1.7621921670558173e-4
2022,ELECTRA MECCANICA VEHICLES CORP.,Battery Electric Vehicle,9,3.9649323758755893e-4
2022,ENERGICA,Battery Electric Vehicle,2,8.810960835279087e-5
2022,EVT,Battery Electric Vehicle,1,4.405480417639543e-5
2022,FIAT,Battery Electric Vehicle,48,0.002114630600466981
2022,FISKER AUTOMOTIVE,Hybrid Electric Vehicle,3,1.6492578339747114e-4
2022,FORD,Battery Electric Vehicle,895,0.039429049737873915
2022,FORD,Hybrid Electric Vehicle,959,0.05272127542605828
2022,"GEELY GROUP ZHEJIANG MOTORCYCLE CO., LTD. / SONDORS",Battery Electric Vehicle,1,4.405480417639543e-5
2022,GEM,Battery Electric Vehicle,1,4.405480417639543e-5
2022,GENESIS,Battery Electric Vehicle,15,6.608220626459316e-4
2022,GMC,Battery Electric Vehicle,7,3.0838362923476804e-4
2022,GMC,Hybrid Electric Vehicle,6,3.298515667949423e-4
2022,HARLEY DAVIDSON,Battery Electric Vehicle,2,8.810960835279087e-5
2022,"HARLEY DAVIDSON, LIVEWIRE",Battery Electric Vehicle,6,2.643288250583726e-4
2022,HONDA,Battery Electric Vehicle,1,4.405480417639543e-5
2022,HONDA,Hybrid Electric Vehicle,160,0.008796041781198461
2022,HUCK CYCLES,Battery Electric Vehicle,3,1.321644125291863e-4
2022,HYUNDAI,Battery Electric Vehicle,560,0.024670690338781442
2022,HYUNDAI,Hybrid Electric Vehicle,1692,0.09301814183617373
2022,"HYUNDAI, KIA",Battery Electric Vehicle,1,4.405480417639543e-5
2022,JAGUAR,Battery Electric Vehicle,22,9.692056918806995e-4
2022,JAGUAR,Hybrid Electric Vehicle,7,3.8482682792743267e-4
2022,KARMA,Battery Electric Vehicle,1,4.405480417639543e-5
2022,KAWASAKI,Battery Electric Vehicle,1,4.405480417639543e-5
2022,KIA,Battery Electric Vehicle,1058,0.04660998281862637
2022,KIA,Hybrid Electric Vehicle,1567,0.08614623419461243
2022,KOLLTER,Battery Electric Vehicle,1,4.405480417639543e-5
2022,"KTM, HUSQVARNA, HUSABERG, GASGAS",Battery Electric Vehicle,1,4.405480417639543e-5
2022,LAND,Battery Electric Vehicle,1,4.405480417639543e-5
2022,LAND ROVER,Hybrid Electric Vehicle,285,0.015667949422759758
2022,LEXUS,Hybrid Electric Vehicle,1192,0.06553051126992854
2022,LINCOLN,Hybrid Electric Vehicle,5,2.748763056624519e-4
2022,LIVEWIRE,Battery Electric Vehicle,6,2.643288250583726e-4
2022,LUCID MOTORS,Battery Electric Vehicle,47,0.0020705757962905854
2022,MAZDA,Battery Electric Vehicle,1,4.405480417639543e-5
2022,MCLAREN,Hybrid Electric Vehicle,1,5.497526113249038e-5
2022,MERCEDES-BENZ,Battery Electric Vehicle,148,0.006520111018106524
2022,MERCEDES-BENZ,Hybrid Electric Vehicle,15,8.246289169873557e-4
2022,MINI,Battery Electric Vehicle,207,0.009119344464513856
2022,NEW WAVE,Battery Electric Vehicle,1,4.405480417639543e-5
2022,NISSAN,Battery Electric Vehicle,928,0.04088285827569497
2022,NISSAN,Hybrid Electric Vehicle,2,1.0995052226498076e-4
2022,NIU,Battery Electric Vehicle,1,4.405480417639543e-5
2022,PIAGGIO AND VESPA,Battery Electric Vehicle,8,3.5243843341116346e-4
2022,POLESTAR,Battery Electric Vehicle,368,0.016212167936913522
2022,PORSCHE,Battery Electric Vehicle,188,0.008282303185162342
2022,PORSCHE,Hybrid Electric Vehicle,6,3.298515667949423e-4
2022,RAM,Hybrid Electric Vehicle,1,5.497526113249038e-5
2022,RIVIAN,Battery Electric Vehicle,599,0.026388827701660865
2022,SATURN,Hybrid Electric Vehicle,1,5.497526113249038e-5
2022,SMART,Battery Electric Vehicle,17,7.489316709987224e-4
2022,SUBARU,Battery Electric Vehicle,11,4.8460284594034977e-4
2022,SUBARU,Hybrid Electric Vehicle,39,0.002144035184167125
2022,TESLA,Battery Electric Vehicle,14540,0.6405568527247897
2022,TEYIN,Battery Electric Vehicle,1,4.405480417639543e-5
2022,TEYIN,Hybrid Electric Vehicle,1,5.497526113249038e-5
2022,THAMLEV,Battery Electric Vehicle,1,4.405480417639543e-5
