date,variable,geography,estimate,share
2018-04-01,Hybrid Electric Vehicle,Pierce,19,0.003963287442636629
2018-04-01,Hybrid Electric Vehicle,Snohomish,13,0.0032720865844450037
2018-04-01,Internal Combustion Engine,King,13293,0.9625633598841419
2018-04-01,Internal Combustion Engine,Kitsap,1384,0.9857549857549858
2018-04-01,Internal Combustion Engine,Pierce,4731,0.9868585732165206
2018-04-01,Internal Combustion Engine,Snohomish,3890,0.9791089856531588
2019-04-01,Battery Electric Vehicle,King,717,0.0482470896978669
2019-04-01,Battery Electric Vehicle,Kitsap,23,0.015062213490504257
2019-04-01,Battery Electric Vehicle,Pierce,62,0.012326043737574552
2019-04-01,Battery Electric Vehicle,Snohomish,120,0.027913468248429867
2019-04-01,Hybrid Electric Vehicle,King,207,0.013929076105241908
2019-04-01,Hybrid Electric Vehicle,Kitsap,6,0.003929273084479371
2019-04-01,Hybrid Electric Vehicle,Pierce,47,0.00934393638170974
2019-04-01,Hybrid Electric Vehicle,Snohomish,26,0.006047918120493138
2019-04-01,Internal Combustion Engine,King,13937,0.9378238341968912
2019-04-01,Internal Combustion Engine,Kitsap,1498,0.9810085134250164
2019-04-01,Internal Combustion Engine,Pierce,4921,0.9783300198807157
2019-04-01,Internal Combustion Engine,Snohomish,4153,0.966038613631077
2020-04-01,Battery Electric Vehicle,King,380,0.08315098468271334
2020-04-01,Battery Electric Vehicle,Kitsap,28,0.023972602739726026
2020-04-01,Battery Electric Vehicle,Pierce,51,0.023943661971830985
2020-04-01,Battery Electric Vehicle,Snohomish,62,0.039315155358275206
2020-04-01,Hybrid Electric Vehicle,King,135,0.02954048140043764
2020-04-01,Hybrid Electric Vehicle,Kitsap,17,0.014554794520547944
2020-04-01,Hybrid Electric Vehicle,Pierce,21,0.009859154929577466
2020-04-01,Hybrid Electric Vehicle,Snohomish,42,0.02663284717818643
2020-04-01,Internal Combustion Engine,King,4055,0.887308533916849
2020-04-01,Internal Combustion Engine,Kitsap,1123,0.961472602739726
2020-04-01,Internal Combustion Engine,Pierce,2058,0.9661971830985916
2020-04-01,Internal Combustion Engine,Snohomish,1473,0.9340519974635384
2021-04-01,Battery Electric Vehicle,King,1298,0.09336114507660218
2021-04-01,Battery Electric Vehicle,Kitsap,78,0.045507584597432905
2021-04-01,Battery Electric Vehicle,Pierce,150,0.026164311878597593
2021-04-01,Battery Electric Vehicle,Snohomish,279,0.05942492012779553
2021-04-01,Hybrid Electric Vehicle,King,817,0.05876429547579659
2021-04-01,Hybrid Electric Vehicle,Kitsap,80,0.046674445740956826
2021-04-01,Hybrid Electric Vehicle,Pierce,240,0.04186289900575615
2021-04-01,Hybrid Electric Vehicle,Snohomish,248,0.05282215122470713
2021-04-01,Internal Combustion Engine,King,11788,0.8478745594476013
2021-04-01,Internal Combustion Engine,Kitsap,1556,0.9078179696616102
2021-04-01,Internal Combustion Engine,Pierce,5343,0.9319727891156463
2021-04-01,Internal Combustion Engine,Snohomish,4168,0.8877529286474973
2022-04-01,Battery Electric Vehicle,King,1444,0.12415097584042645
2022-04-01,Battery Electric Vehicle,Kitsap,67,0.05079605761940864
2022-04-01,Battery Electric Vehicle,Pierce,190,0.04285069914298602
2022-04-01,Battery Electric Vehicle,Snohomish,327,0.0829107505070994
2022-04-01,Hybrid Electric Vehicle,King,903,0.07763734846530823
2022-04-01,Hybrid Electric Vehicle,Kitsap,84,0.06368460955269144
2022-04-01,Hybrid Electric Vehicle,Pierce,283,0.06382498872350023
2022-04-01,Hybrid Electric Vehicle,Snohomish,249,0.0631338742393509
2022-04-01,Internal Combustion Engine,King,9284,0.7982116756942653
2022-04-01,Internal Combustion Engine,Kitsap,1168,0.8855193328279
2022-04-01,Internal Combustion Engine,Pierce,3961,0.8933243121335137
2022-04-01,Internal Combustion Engine,Snohomish,3368,0.8539553752535497
2023-04-01,Battery Electric Vehicle,King,1960,0.1767995670214685
2023-04-01,Battery Electric Vehicle,Kitsap,95,0.08037225042301184
2023-04-01,Battery Electric Vehicle,Pierce,329,0.07927710843373494
2023-04-01,Battery Electric Vehicle,Snohomish,450,0.12482662968099861
